UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
127787001,Everest College-Thornton,Main Campus,9065 GRANT ST,Thornton,CO,80229,6,"Private for-profit, 2-year",,0,0,0,0,0,0,0,2,0,2
127820001,Pikes Peak Community College,Centennial Campus,5675 S ACADEMY BLVD,COLORADO SPRINGS,CO,809065422,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127820002,Pikes Peak Community College,Rampart Range Campus,11195 Highway 83,Colo Spgs,CO,809213602,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127820003,Pikes Peak Community College,Downtown Studio,100 West Pikes Peak Avenue,Colo Spgs,CO,809031503,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
127839001,Intellitec Medical Institute,Medical Campus,2345 North Academy Blvd,Colorado Springs,CO,809091511,6,"Private for-profit, 2-year",14,0,0,0,0,0,0,0,0,0,0
127884001,Pueblo Community College,Main Campus,900 W ORMAN AVE,PUEBLO,CO,81004,4,"Public, 2-year",4988,0,0,0,0,0,3,0,1,0,4
127884002,Pueblo Community College,Fremont County Center,51320 West Highway 50,Canon City,CO,81212,4,"Public, 2-year",4988,0,0,0,0,0,0,0,0,0,0
127884003,Pueblo Community College,Southwest Campus - Cortez,2208 East Main St,Cortez,CO,81321,4,"Public, 2-year",4988,0,0,0,0,0,0,0,0,0,0
127884004,Pueblo Community College,Southwest Campus - Durango,"701 Camino Del Rio, Suite 100",Durango,CO,81301,4,"Public, 2-year",4988,0,0,0,0,0,0,0,0,0,0
127909001,Red Rocks Community College,Red Rocks Community College,13300 W SIXTH AVE,LAKEWOOD,CO,802281255,4,"Public, 2-year",,0,0,0,0,0,0,2,1,0,3
127918001,Regis University,Main Campus,3333 REGIS BLVD,DENVER,CO,802211099,2,"Private nonprofit, 4-year or above",11238,0,0,2,0,1,2,7,7,0,19
127945001,Rocky Mountain College of Art and Design,Main Campus,1600 Pierce Street,Lakewood,CO,80214,3,"Private for-profit, 4-year or above",498,0,0,0,0,0,0,5,0,0,5
127954001,Montessori Education Center of the Rockies,Main Campus,4745 WALNUT STREET,BOULDER,CO,80301,2,"Private nonprofit, 4-year or above",64,0,0,0,0,0,0,0,0,0,0
128036001,San Juan Basin Technical College,San Juan Basin Technical College,33057 Highway 160,Mancos,CO,81328,7,"Public, less-than 2-year",778,0,0,0,0,1,0,0,0,0,1
128106001,Colorado State University-Pueblo,Colorado State University Pueblo,2200 BONFORTE BLVD,PUEBLO,CO,810014901,1,"Public, 4-year or above",,0,0,2,0,0,1,6,0,0,9
128151001,Pickens Technical College,Pickens Technical College,500 AIRPORT BLVD,AURORA,CO,800119307,7,"Public, less-than 2-year",932,0,0,0,0,0,0,0,0,0,0
128179001,Intellitec College-Colorado Springs,Main Campus,2315 E. PIKES PEAK AVENUE,COLORADO SPRINGS,CO,809096096,6,"Private for-profit, 2-year",,0,0,0,0,0,0,0,0,0,0
128188001,Intellitec College-Grand Junction,INTELLITEC COLLEGE-GRAND JUNCTION,772 HORIZON DR,GRAND JUNCTION,CO,81506,6,"Private for-profit, 2-year",698,0,0,0,0,0,0,0,0,0,0
128188002,Intellitec College-Grand Junction,INTELLITEC COLLEGE - PUEBLO,3673 Parker Blvd. Suite 250,Pueblo,CO,81008,6,"Private for-profit, 2-year",698,,,,,,,,,,0
128203001,Artistic Beauty Colleges-Westminster,Main Campus,3049 W 74 AVE,WESTMINSTER,CO,80030,6,"Private for-profit, 2-year",51,0,0,0,0,1,0,1,0,0,2
