ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime,
170541002,Kalamazoo Valley Community College,KALAMAZOO VALLEY COMMUNITY COLLEGE ARCADIA COMMONS,MI,11113,0,0,0,0,2,1,0,0,0,3,
170657001,Lansing Community College,Lansing Community College,MI,19465,0,0,2,0,1,0,1,0,0,4,
170657002,Lansing Community College,West Campus,MI,19465,0,0,0,0,0,0,0,0,0,0,
170790001,Macomb Community College,South Campus (Main Campus),MI,22081,0,0,0,0,2,0,5,0,0,7,
170790002,Macomb Community College,Center Campus,MI,22081,0,0,0,0,0,0,2,0,0,2,
170976001,University of Michigan-Ann Arbor,Main Campus,MI,41042,0,0,9,0,4,18,35,4,5,75,
171100001,Michigan State University,Main Campus,MI,46045,0,0,18,0,11,10,122,9,1,171,
171128001,Michigan Technological University,Main Campus,MI,6744,0,0,1,0,0,0,13,1,0,15,
171137001,University of Michigan-Dearborn,Main Campus,MI,8336,0,0,0,0,0,0,1,8,0,9,
171146001,University of Michigan-Flint,Main Campus,MI,6883,0,0,0,0,1,0,7,7,1,16,
