UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
232797009,National College-Salem,National College of Business & Technology-Knoxville,8415 Kingston Pike,Knoxville,TN,37919,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797010,National College-Salem,National College -  Cincinnati,6871 Steger Drive,Cincinnati,OH,45237,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797011,National College-Salem,National College  - Kettering,1837 Woodman Center Drive,Kettering,OH,45420,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232797012,National College-Salem,National College-Youngstown,3487 Belmont Avenue,Youngstown,OH,44505,3,"Private for-profit, 4-year or above",6691,0,0,0,0,0,0,0,0,0,0
232867001,New River Community College,Main Campus,ROUTE 373,DUBLIN,VA,240841127,4,"Public, 2-year",5229,0,0,0,0,1,0,0,0,0,1
232885001,Sentara School of Health Professions,Main Campus,1441 CROSSWAYS BLVD SUITE 105,CHESAPEAKE,VA,23320,5,"Private nonprofit, 2-year",410,0,0,0,0,0,0,0,0,0,0
232919001,Tidewater Tech-Trades,Main Campus,5301 E Princess Anne Rd,NORFOLK,VA,23502,9,"Private for-profit, less-than 2-year",105,0,0,0,0,0,0,0,0,0,0
232937001,Norfolk State University,Norfolk State University,700 PARK AVE,NORFOLK,VA,235048000,1,"Public, 4-year or above",6993,0,0,2,0,2,4,55,4,2,69
232946001,Northern Virginia Community College,Main Campus,4001 WAKEFIELD CHAPEL RD,ANNANDALE,VA,220033796,4,"Public, 2-year",46619,0,0,0,0,0,3,0,1,0,4
232946002,Northern Virginia Community College,Alexandria Campus,3001 N. Beauregard Street,Alexandria,VA,22311,4,"Public, 2-year",46619,0,0,0,0,0,0,0,0,0,0
232946003,Northern Virginia Community College,Loudoun Campus,1000 Harry Flood Byrd Highway,Sterling,VA,20164,4,"Public, 2-year",46619,0,0,0,0,0,0,0,0,0,0
232946004,Northern Virginia Community College,Manassas Campus,6901 Sudley Road,Manassas,VA,20109,4,"Public, 2-year",46619,0,0,0,0,0,0,0,0,0,0
232946005,Northern Virginia Community College,Woodbridge Campus,15200 Neabsco Mills Road,Woodbridge,VA,22191,4,"Public, 2-year",46619,0,0,0,0,0,1,0,0,0,1
232946006,Northern Virginia Community College,Medical Education Campus,6699 Springfield Drive,Springfield,VA,221501913,4,"Public, 2-year",46619,0,0,0,0,0,0,0,0,0,0
232982001,Old Dominion University,Old Dominion University,5215 HAMPTON BLVD,NORFOLK,VA,23529,1,"Public, 4-year or above",24013,0,0,3,0,1,2,31,6,0,43
233019001,Patrick Henry Community College,Main Campus,645 Patriot Avenue,Martinsville,VA,24112,4,"Public, 2-year",3501,0,0,0,0,0,0,5,0,0,5
233037001,Paul D Camp Community College,Franklin Campus,100 N COLLEGE DR,FRANKLIN,VA,23851,4,"Public, 2-year",1579,0,0,0,0,0,0,0,0,0,0
233037002,Paul D Camp Community College,Hobbs Suffolk Campus,271 Kenyon Road,Suffolk,VA,23434,4,"Public, 2-year",1579,0,0,0,0,0,0,0,0,0,0
233082001,Southside Regional Medical Center,SRMC Professional Schools,737 South Sycamore Street,Petersburg,VA,238035133,6,"Private for-profit, 2-year",143,0,0,0,0,0,0,0,0,0,0
233091001,Miller-Motte Technical College,Main Campus,1011 Creekside Lane,Lynchburg,VA,245021708,6,"Private for-profit, 2-year",468,0,0,0,0,0,0,0,0,0,0
233116001,Piedmont Virginia Community College,MAIN CAMPUS,501 COLLEGE DR,CHARLOTTESVILLE,VA,229027589,4,"Public, 2-year",5401,0,0,0,0,0,0,0,0,0,0
233277001,Radford University,Main Campus,801 East Main St.,RADFORD,VA,24142,1,"Public, 4-year or above",8878,0,0,3,0,0,3,4,0,0,10
233286001,Legends Institute,Main Campus,2323 Memorial Avenue Unit 27,LYNCHBURG,VA,245012325,9,"Private for-profit, less-than 2-year",32,0,0,0,0,0,0,0,0,0,0
233295001,Randolph-Macon College,Main Campus,204 HENRY ST,ASHLAND,VA,230055505,2,"Private nonprofit, 4-year or above",1246,0,0,9,0,0,2,12,1,0,24
233301001,Randolph College,RANDOLPH COLLEGE,2500 RIVERMONT AVE,LYNCHBURG,VA,245031526,2,"Private nonprofit, 4-year or above",500,0,0,0,0,0,1,1,0,0,2
233310001,Rappahannock Community College,Glenns Campus,12745 College Drive,Glenns,VA,231492616,4,"Public, 2-year",3406,0,0,0,0,0,0,0,0,0,0
233310002,Rappahannock Community College,Warsaw Campus,52 Campus Drive,Warsaw,VA,22572,4,"Public, 2-year",3406,0,0,0,0,0,0,0,0,0,0
